epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr
1,0.2546585259198842,0.0429707403112937,0.9882136279926336,0.9827028354036421,0.0002988172051971717
2,0.06978872372281454,0.03832127407067121,0.9906077348066298,0.9855911277450872,0.0002952874741692947
3,0.05768558241112701,0.032479990206995005,0.9902394106813996,0.98695161723249,0.0002894664728832377
4,0.040809199826700907,0.02894521377676057,0.992817679558011,0.9907080035475457,0.00028144600200657956
5,0.034397527334720054,0.01947581147680239,0.9941068139963167,0.9915877216471353,0.00027135254915624217
6,0.028676127256773525,0.018345621944073152,0.9950276243093923,0.9932570664508368,0.0002593452941132118
7,0.02983127425304286,0.015021153184197007,0.996316758747698,0.9951363958863356,0.00024561359846230347
8,0.021833218864104727,0.019909644748277628,0.9952117863720074,0.9941023863665143,0.0002303740192468495
9,0.022953919200961393,0.01071900152136739,0.996500920810313,0.9934472293660485,0.0002138668937347609
10,0.017116416464479655,0.020623442120216422,0.996500920810313,0.993230929949938,0.0001963525491562421
11,0.01345603484968677,0.010303207686140707,0.9974217311233886,0.994890373319064,0.00017810719718785873
12,0.011578043861667352,0.006413284051683136,0.9987108655616943,0.9981203943140627,0.00015941857792939703
13,0.009912814480529823,0.011222766012107806,0.9974217311233886,0.9955724514240286,0.00014058142207060302
14,0.0075453471870908975,0.010555677874306984,0.9972375690607734,0.996548973398829,0.00012189280281214133
15,0.00603286857659017,0.008196972075851554,0.9976058931860037,0.9969542469135748,0.00010364745084375795
16,0.0034080081502424167,0.009985606738771899,0.9974217311233886,0.9960869509303301,8.61331062652391e-05
17,0.0039390505613449076,0.009756996206164973,0.9983425414364641,0.9976060936546586,6.962598075315047e-05
18,0.002122220618484925,0.011425028695221195,0.9979742173112339,0.9969893169481733,5.4386401537696536e-05
19,0.0021363694019024587,0.013233313211382361,0.9972375690607734,0.9951527066281587,4.06547058867883e-05
20,0.0015463677118391402,0.009091827583882208,0.9985267034990792,0.9977863139474635,2.86474508437579e-05
21,0.0010418933232804618,0.010478588066852033,0.9983425414364641,0.9968890584523243,1.8553997993420465e-05
22,0.0012175681803993353,0.009983398098470918,0.9979742173112339,0.9958019224770733,1.05335271167623e-05
23,0.0007451871569915757,0.01260946993866312,0.998158379373849,0.9964601261650448,4.712525830705356e-06
24,0.0006601288135965594,0.010659152527411926,0.9985267034990792,0.9972726752252079,1.1827948028283355e-06
25,0.0005923212292281463,0.010730151364421934,0.9985267034990792,0.9979972437519268,0.0
