epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr
1,0.07915866576368069,0.008330645392224733,0.9961325966850829,0.995198509403077,0.00029265847744427303
2,0.023066953937729732,0.006786104990163575,0.9977900552486187,0.9972490584906906,0.0002713525491562421
3,0.018564333785982795,0.005803191150202911,0.9983425414364641,0.9979380508103604,0.00023816778784387096
4,0.014501263755642108,0.00804391871589968,0.9983425414364641,0.9979380508103604,0.0001963525491562421
5,0.009054375423688268,0.005401138456331872,0.9974217311233886,0.9967957715311762,0.00015
6,0.00651785079482761,0.0036526160019176904,0.9990791896869244,0.998853074345833,0.0001036474508437579
7,0.003926287567199736,0.0035584063445033938,0.9994475138121547,0.999311564021313,6.183221215612905e-05
8,0.0013014235754220007,0.002328215290619345,0.9996316758747698,0.9995411362480562,2.86474508437579e-05
9,0.0014468200628283948,0.0015506591995891042,0.9996316758747698,0.9995411362480562,7.341522555726971e-06
10,0.0007284647165289616,0.0014009979207059862,0.9996316758747698,0.9995411362480562,0.0
